Input,Output,Tag
I get an error saying that there is something going wrong during processing of the data when I reserve a book on the website.,Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
"Via RuQuest I get the message that states that there is an error during processing of data, and I really want to borrow this book from the library.",Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
"I have tried multiple times to request a book from the closed stacks, but I get an error every time.",Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
"I wanted to log into RuQuest, but it said that my account has been deactivated, what should I do?",Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
"I want access to request IBL books, but I don't seem to succeed in making that possible.",Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
"I'm not a student or staff member, can I still use the digital library?",It is possible to use the library even if you are not a Radboud University student. You can find information on using the library as a guest here: https://www.ru.nl/library/services/support/frequently-asked-questions/faq-answers/can-guests-use-digital-library/,Using the library as a guest
"I don't study at Radboud, can I borrow a book?",It is possible to use the library even if you are not a Radboud University student. You can find information on using the library as a guest here: https://www.ru.nl/library/services/support/frequently-asked-questions/faq-answers/can-guests-use-digital-library/,Using the library as a guest
"I need some books for my research, but I don't go here.",It is possible to use the library even if you are not a Radboud University student. You can find information on using the library as a guest here: https://www.ru.nl/library/services/support/frequently-asked-questions/faq-answers/can-guests-use-digital-library/,Using the library as a guest
"For my project I need some books, but I'm not a Radboud student.",It is possible to use the library even if you are not a Radboud University student. You can find information on using the library as a guest here: https://www.ru.nl/library/services/support/frequently-asked-questions/faq-answers/can-guests-use-digital-library/,Using the library as a guest
"I don't study at the RU, can I borrow a book?",It is possible to use the library even if you are not a Radboud University student. You can find information on using the library as a guest here: https://www.ru.nl/library/services/support/frequently-asked-questions/faq-answers/can-guests-use-digital-library/,Using the library as a guest
"I'm not a Nijmegen student, can I still use the digital library?",It is possible to use the library even if you are not a Radboud University student. You can find information on using the library as a guest here: https://www.ru.nl/library/services/support/frequently-asked-questions/faq-answers/can-guests-use-digital-library/,Using the library as a guest
How can I use the digital library as a guest?,It is possible to use the library even if you are not a Radboud University student. You can find information on using the library as a guest here: https://www.ru.nl/library/services/support/frequently-asked-questions/faq-answers/can-guests-use-digital-library/,Using the library as a guest
Is there a guest login at the UB for outside users?,It is possible to use the library even if you are not a Radboud University student. You can find information on using the library as a guest here: https://www.ru.nl/library/services/support/frequently-asked-questions/faq-answers/can-guests-use-digital-library/,Using the library as a guest
Can I access the library as a secondary school student?,It is possible to use the library even if you are not a Radboud University student. You can find information on using the library as a guest here: https://www.ru.nl/library/services/support/frequently-asked-questions/faq-answers/can-guests-use-digital-library/,Using the library as a guest
"I'm not in university, can I use the library?",It is possible to use the library even if you are not a Radboud University student. You can find information on using the library as a guest here: https://www.ru.nl/library/services/support/frequently-asked-questions/faq-answers/can-guests-use-digital-library/,Using the library as a guest
Can somebody explain to me how to efficiently search for literature?,This page has lots of information on conducting literature research: https://www.ru.nl/library/services/research/literature-research/. I hope you find what you're looking for!,How to do literature research
"I would like some help in finding the right literature, can somebody help me?",This page has lots of information on conducting literature research: https://www.ru.nl/library/services/research/literature-research/. I hope you find what you're looking for!,How to do literature research
"I never know how to search for books, what can I do to improve?",This page has lots of information on conducting literature research: https://www.ru.nl/library/services/research/literature-research/. I hope you find what you're looking for!,How to do literature research
How do you do literature research?,This page has lots of information on conducting literature research: https://www.ru.nl/library/services/research/literature-research/. I hope you find what you're looking for!,How to do literature research
How do you find the right literature?,This page has lots of information on conducting literature research: https://www.ru.nl/library/services/research/literature-research/. I hope you find what you're looking for!,How to do literature research
I'm writing a paper and not sure what citation style to use.,This page has lots of information on conducting literature research: https://www.ru.nl/library/services/research/literature-research/. I hope you find what you're looking for!,How to do literature research
How do I cite sources?,This page has lots of information on conducting literature research: https://www.ru.nl/library/services/research/literature-research/. I hope you find what you're looking for!,How to do literature research
How do I put references in my paper?,This page has lots of information on conducting literature research: https://www.ru.nl/library/services/research/literature-research/. I hope you find what you're looking for!,How to do literature research
How do you cite sources in APA format?,This page has lots of information on conducting literature research: https://www.ru.nl/library/services/research/literature-research/. I hope you find what you're looking for!,How to do literature research
Which citation style should I use?,This page has lots of information on conducting literature research: https://www.ru.nl/library/services/research/literature-research/. I hope you find what you're looking for!,How to do literature research
What are some good search techniques?,This page has lots of information on conducting literature research: https://www.ru.nl/library/services/research/literature-research/. I hope you find what you're looking for!,How to do literature research
How do you search for good literature?,This page has lots of information on conducting literature research: https://www.ru.nl/library/services/research/literature-research/. I hope you find what you're looking for!,How to do literature research
Is there an easy way to cite sources?,This page has lots of information on conducting literature research: https://www.ru.nl/library/services/research/literature-research/. I hope you find what you're looking for!,How to do literature research
How do you search for literature in a database?,This page has lots of information on conducting literature research: https://www.ru.nl/library/services/research/literature-research/. I hope you find what you're looking for!,How to do literature research
Can I navigate a database using search techniques?,This page has lots of information on conducting literature research: https://www.ru.nl/library/services/research/literature-research/. I hope you find what you're looking for!,How to do literature research
Do I have to include copyright in my papers?,Information on copyright and plagiarism can be found here: https://www.ru.nl/library/services/research/copyright-information-point-cip/plagiarism/,Copyright and plagiarism
"I'm doing some research for my thesis, how can I avoid plagiarism?",Information on copyright and plagiarism can be found here: https://www.ru.nl/library/services/research/copyright-information-point-cip/plagiarism/,Copyright and plagiarism
How do I avoid plagiarism?,Information on copyright and plagiarism can be found here: https://www.ru.nl/library/services/research/copyright-information-point-cip/plagiarism/,Copyright and plagiarism
How do I not accidentally commit plagiarism?,Information on copyright and plagiarism can be found here: https://www.ru.nl/library/services/research/copyright-information-point-cip/plagiarism/,Copyright and plagiarism
Is there any way to avoid plagiarism?,Information on copyright and plagiarism can be found here: https://www.ru.nl/library/services/research/copyright-information-point-cip/plagiarism/,Copyright and plagiarism
How do I not accidentally plagiarize someone else's paper?,Information on copyright and plagiarism can be found here: https://www.ru.nl/library/services/research/copyright-information-point-cip/plagiarism/,Copyright and plagiarism
Can I use copyrighted information?,Information on copyright and plagiarism can be found here: https://www.ru.nl/library/services/research/copyright-information-point-cip/plagiarism/,Copyright and plagiarism
How do I encorporate copyright in my thesis?,Information on copyright and plagiarism can be found here: https://www.ru.nl/library/services/research/copyright-information-point-cip/plagiarism/,Copyright and plagiarism
"If I paraphrase someone, is that plagiarism?",Information on copyright and plagiarism can be found here: https://www.ru.nl/library/services/research/copyright-information-point-cip/plagiarism/,Copyright and plagiarism
Is quoting someone illegal?,Information on copyright and plagiarism can be found here: https://www.ru.nl/library/services/research/copyright-information-point-cip/plagiarism/,Copyright and plagiarism
Is paraphrasing illegal?,Information on copyright and plagiarism can be found here: https://www.ru.nl/library/services/research/copyright-information-point-cip/plagiarism/,Copyright and plagiarism
How do I not get in trouble for copying someone's work?,Information on copyright and plagiarism can be found here: https://www.ru.nl/library/services/research/copyright-information-point-cip/plagiarism/,Copyright and plagiarism
"I have accidentally copied somebody else's work, what do I do?",Information on copyright and plagiarism can be found here: https://www.ru.nl/library/services/research/copyright-information-point-cip/plagiarism/,Copyright and plagiarism
"If I forget to cite my sources, is that plagiarism?",Information on copyright and plagiarism can be found here: https://www.ru.nl/library/services/research/copyright-information-point-cip/plagiarism/,Copyright and plagiarism
"Due to COVID-19, I try to minimize traveling as much as possible. Is it possible for me to return the books that I have at home via mail?","It is possible to return your books via post. You can send your books to the following address: Universiteitbibliotheek, Radboud University Library, T.a.v LSS, Erasmuslaan 36, 6525 GG Nijmegen. Check out this site for more information: https://www.ru.nl/library/news-events/news/general-news/general/limited-services-due-corona-measures-update/",Returning books during the corona pandemic
Are there new rules about missing the lending deadline? Because I want to hand in my borrowed books but at the same time it is advised against traveling to Nijmegen and against working at the office.,"It is possible to return your books via post. You can send your books to the following address: Universiteitbibliotheek, Radboud University Library, T.a.v LSS, Erasmuslaan 36, 6525 GG Nijmegen. Check out this site for more information: https://www.ru.nl/library/news-events/news/general-news/general/limited-services-due-corona-measures-update/",Returning books during the corona pandemic
"I remember that you can send back borrowed books during the pandemic, but I cannot find information about it online.","It is possible to return your books via post. You can send your books to the following address: Universiteitbibliotheek, Radboud University Library, T.a.v LSS, Erasmuslaan 36, 6525 GG Nijmegen. Check out this site for more information: https://www.ru.nl/library/news-events/news/general-news/general/limited-services-due-corona-measures-update/",Returning books during the corona pandemic
"I have to return a book whose lending period has expired. I would prefer to send it by mail, can you tell me the address to which I can send the book?","It is possible to return your books via post. You can send your books to the following address: Universiteitbibliotheek, Radboud University Library, T.a.v LSS, Erasmuslaan 36, 6525 GG Nijmegen. Check out this site for more information: https://www.ru.nl/library/news-events/news/general-news/general/limited-services-due-corona-measures-update/",Returning books during the corona pandemic
"Normally I am once per week in Nijmegen, but due to corona I haven't been in Nijmegen and now my books have expired. I find it too much to ask if I need to travel to Nijmegen and back only for returning my books, is there another option to hand them in?","It is possible to return your books via post. You can send your books to the following address: Universiteitbibliotheek, Radboud University Library, T.a.v LSS, Erasmuslaan 36, 6525 GG Nijmegen. Check out this site for more information: https://www.ru.nl/library/news-events/news/general-news/general/limited-services-due-corona-measures-update/",Returning books during the corona pandemic
"I got an email that states to bring back my books as soon as possible, but unfortunately is it not possible for me to return them in person. What should I do?","It is possible to return your books via post. You can send your books to the following address: Universiteitbibliotheek, Radboud University Library, T.a.v LSS, Erasmuslaan 36, 6525 GG Nijmegen. Check out this site for more information: https://www.ru.nl/library/news-events/news/general-news/general/limited-services-due-corona-measures-update/",Returning books during the corona pandemic
"I need to hand in some books tomorrow, but I have some cold-like symptoms and because of that I think it is a bad idea if I will return them in person. I don't know what to do.","It is possible to return your books via post. You can send your books to the following address: Universiteitbibliotheek, Radboud University Library, T.a.v LSS, Erasmuslaan 36, 6525 GG Nijmegen. Check out this site for more information: https://www.ru.nl/library/news-events/news/general-news/general/limited-services-due-corona-measures-update/",Returning books during the corona pandemic
I can't hand in my books due to corona. What should I do?,"It is possible to return your books via post. You can send your books to the following address: Universiteitbibliotheek, Radboud University Library, T.a.v LSS, Erasmuslaan 36, 6525 GG Nijmegen. Check out this site for more information: https://www.ru.nl/library/news-events/news/general-news/general/limited-services-due-corona-measures-update/",Returning books during the corona pandemic
I still have books at home. Can I return them during corona-times?,"It is possible to return your books via post. You can send your books to the following address: Universiteitbibliotheek, Radboud University Library, T.a.v LSS, Erasmuslaan 36, 6525 GG Nijmegen. Check out this site for more information: https://www.ru.nl/library/news-events/news/general-news/general/limited-services-due-corona-measures-update/",Returning books during the corona pandemic
Should I still hand in my books during the pandemic?,"It is possible to return your books via post. You can send your books to the following address: Universiteitbibliotheek, Radboud University Library, T.a.v LSS, Erasmuslaan 36, 6525 GG Nijmegen. Check out this site for more information: https://www.ru.nl/library/news-events/news/general-news/general/limited-services-due-corona-measures-update/",Returning books during the corona pandemic
Can I return my books during COVID?,"It is possible to return your books via post. You can send your books to the following address: Universiteitbibliotheek, Radboud University Library, T.a.v LSS, Erasmuslaan 36, 6525 GG Nijmegen. Check out this site for more information: https://www.ru.nl/library/news-events/news/general-news/general/limited-services-due-corona-measures-update/",Returning books during the corona pandemic
Is borrowing books still done in person?,"It is possible to return your books via post. You can send your books to the following address: Universiteitbibliotheek, Radboud University Library, T.a.v LSS, Erasmuslaan 36, 6525 GG Nijmegen. Check out this site for more information: https://www.ru.nl/library/news-events/news/general-news/general/limited-services-due-corona-measures-update/",Returning books during the corona pandemic
Does corona affect the borrowing and returning of books?,"It is possible to return your books via post. You can send your books to the following address: Universiteitbibliotheek, Radboud University Library, T.a.v LSS, Erasmuslaan 36, 6525 GG Nijmegen. Check out this site for more information: https://www.ru.nl/library/news-events/news/general-news/general/limited-services-due-corona-measures-update/",Returning books during the corona pandemic
"I cannot expand my lending period online for a book, but it is also not possible for me to return the book in time. Are there other options for me that I can do?","It is possible to return your books via post. You can send your books to the following address: Universiteitbibliotheek, Radboud University Library, T.a.v LSS, Erasmuslaan 36, 6525 GG Nijmegen. Check out this site for more information: https://www.ru.nl/library/news-events/news/general-news/general/limited-services-due-corona-measures-update/",Returning books during the corona pandemic
"I wanted to retrieve my requested books, but I couldn't find them even though I got an email saying that they should be there.","If you requested IBL-books, then they are behind the counter and should be available to you by requesting it from a staff member. This is because these books can't yet be borrowed via the borrowing system at the library. ",Couldn't retrieve IBL-books
"Yesterday when I went to get the books that I reserved, I did not find them when the email said that they are there.","If you requested IBL-books, then they are behind the counter and should be available to you by requesting it from a staff member. This is because these books can't yet be borrowed via the borrowing system at the library. ",Couldn't retrieve IBL-books
"I went by the library today to retrieve my reservation of books, but I didn't seem to find them. Was the email that I got incorrect?","If you requested IBL-books, then they are behind the counter and should be available to you by requesting it from a staff member. This is because these books can't yet be borrowed via the borrowing system at the library. ",Couldn't retrieve IBL-books
"A few days ago I tried to get the books I requested, but they were not there. Today is the last day of the pick-up time period for my requests but there were still not there.","If you requested IBL-books, then they are behind the counter and should be available to you by requesting it from a staff member. This is because these books can't yet be borrowed via the borrowing system at the library. ",Couldn't retrieve IBL-books
I couldn't find my books in the bookcases where you retrieve your reservations. Is there some miscommunication?,"If you requested IBL-books, then they are behind the counter and should be available to you by requesting it from a staff member. This is because these books can't yet be borrowed via the borrowing system at the library. ",Couldn't retrieve IBL-books
"I requested some books via IBL and I wanted to get them this morning, but they weren't in the bookcases.","If you requested IBL-books, then they are behind the counter and should be available to you by requesting it from a staff member. This is because these books can't yet be borrowed via the borrowing system at the library. ",Couldn't retrieve IBL-books
hey I'd like to order a book,"All information about borrowing and/or reservations of publications, loan periods and pick up times you can find here: https://www.ru.nl/library/services/borrowing/",Borrowing and reservations of books
hey how do i prevent plagiarism?,Information on copyright and plagiarism can be found here: https://www.ru.nl/library/services/research/copyright-information-point-cip/plagiarism/,Copyright and plagiarism
can I book a room to study in?,"If you want to work at a study workspace in the library, you need to make a reservation on https://www.ru.nl/library/services/study/reservation-study/. When making the reservation, you can select if you want a PC workspace or not. You cannot make a reservation for more than 1 person. Notice that you cannot make a reservation if you are not a RU student or employee, and it is not possible to reserve a workspace more than 2 days in advance.",Reservation of a study workspace
is there a place here for me to search books?,The search engine of Radboud University is called RuQuest. You can try to find what you are looking for there. Take a look at the FAQ page here: https://libguides.ru.nl/RuQuestEN/faq,"Where to find books, journals and other publications"
is the library closed during covid? I need to return books,"It is possible to return your books via post. You can send your books to the following address: Universiteitbibliotheek, Radboud University Library, T.a.v LSS, Erasmuslaan 36, 6525 GG Nijmegen. Check out this site for more information: https://www.ru.nl/library/news-events/news/general-news/general/limited-services-due-corona-measures-update/",Returning books during the corona pandemic
can I bring back loaned books during the pandemic?,"It is possible to return your books via post. You can send your books to the following address: Universiteitbibliotheek, Radboud University Library, T.a.v LSS, Erasmuslaan 36, 6525 GG Nijmegen. Check out this site for more information: https://www.ru.nl/library/news-events/news/general-news/general/limited-services-due-corona-measures-update/",Returning books during the corona pandemic
when does citing become plagiarism?,Information on copyright and plagiarism can be found here: https://www.ru.nl/library/services/research/copyright-information-point-cip/plagiarism/,Copyright and plagiarism
How much can I legally copy from another paper?,Information on copyright and plagiarism can be found here: https://www.ru.nl/library/services/research/copyright-information-point-cip/plagiarism/,Copyright and plagiarism
Can you access the library if you're not part of the RU?,It is possible to use the library even if you are not a Radboud University student. You can find information on using the library as a guest here: https://www.ru.nl/library/services/support/frequently-asked-questions/faq-answers/can-guests-use-digital-library/,Using the library as a guest
I can't find my book in the search engine. Any tips?,"Sadly, the library doesn't have a physical copy of the book and doesn't have access to the e-book. You can try to make an IBL-request for this specific book at: https://ru.on.worldcat.org/oclc/901546555",Unable to find my book in RUQuest
is the library accessible for non students?,It is possible to use the library even if you are not a Radboud University student. You can find information on using the library as a guest here: https://www.ru.nl/library/services/support/frequently-asked-questions/faq-answers/can-guests-use-digital-library/,Using the library as a guest
how much can I copy from a book?,Information on copyright and plagiarism can be found here: https://www.ru.nl/library/services/research/copyright-information-point-cip/plagiarism/,Copyright and plagiarism
the site doesn't allow me to sign in,Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
hello I am no student but can I still use the UB resources?,It is possible to use the library even if you are not a Radboud University student. You can find information on using the library as a guest here: https://www.ru.nl/library/services/support/frequently-asked-questions/faq-answers/can-guests-use-digital-library/,Using the library as a guest
Are there other places to look for specific books? The search cannot find my book.,"Sadly, the library doesn't have a physical copy of the book and doesn't have access to the e-book. You can try to make an IBL-request for this specific book at: https://ru.on.worldcat.org/oclc/901546555",Unable to find my book in RUQuest
can I see the special collection?,"For material requests or consultation, please fill out this form: https://www.ru.nl/library/library/special-collections/request-special-collections/. In case of a digitalisation request, please use the following form: https://www.ru.nl/library/library/special-collections/digitization-request-special-collections/.",Request from the Special Collections
I ordered a book via de site but I couldn't pick them up,"If you requested IBL-books, then they are behind the counter and should be available to you by requesting it from a staff member. This is because these books can't yet be borrowed via the borrowing system at the library. ",Couldn't retrieve IBL-books
